NOMETABELA;ORDEM;NOMECAMPO;CHAVE;OBRIGATORIO;TIPO;DESCRICAO;TABELAORIGEM;FORMATO;REGRAS
PROC_LICIT_ATA_REGISTRO_PRECO;3;PLIC_Situacao;SIM;SIM;Inteiro;Situação do processo licitatório;PROCESSO_LICITATORIO_SITUACAO;3...13;REGRA 1: O conteúdo do campo deverá estar preenchido com "3...13".
PROC_LICIT_ATA_REGISTRO_PRECO;4;PLIC_DataSituacao;SIM;SIM;Caractere(10);Data da situação;PROCESSO_LICITATORIO_SITUACAO;;REGRA 1: O conteúdo do campo deverá conter uma DATA válida, a DATA será validada segundo o critério "<= DATA ATUAL" (ver regra d).
PROC_LICIT_ATA_REGISTRO_PRECO;5;PLICATA_NumAta;SIM;SIM;Caractere(16);Núm. da ata de registro de preços;;"99999999999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999999999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERC_ATUAL" (ver regra d).
PROC_LICIT_ATA_REGISTRO_PRECO;6;PLICATA_DataAssinatura;NÃO;SIM;Caractere(10);Data da assinatura;;;REGRA 1: O conteúdo do campo deverá conter uma DATA válida, a DATA será validada segundo o critério "<= DATA ATUAL" (ver regra d).
PROC_LICIT_ATA_REGISTRO_PRECO;7;PLICATA_DataInicialVigencia;NÃO;SIM;Caractere(10);Data da inicial da vigência;;;REGRA 1: O conteúdo do campo deverá conter um valor MAIOR ou IGUAL ao conteúdo do campo "PLICATA_DataAssinatura".
PROC_LICIT_ATA_REGISTRO_PRECO;8;PLICATA_DataFimVigencia;NÃO;SIM;Caractere(10);Data da final da vigência;;;REGRA 1: O conteúdo do campo deverá conter um valor MAIOR ou IGUAL ao conteúdo do campo "PLICATA_DataInicialVigencia".
PROC_LICIT_ATA_REGISTRO_PRECO;9;PLICATA_NomeArqPDF;NÃO;SIM;Caractere(24);Nome do arquivo PDF;;;REGRA 1: A formatação do nome do arquivo PDF deverá estar de acordo com a regra "PLICATA_AAAAMM_99999.PDF".
PROC_LICIT_FORNECEDOR_COTACAO;1;PLIC_Numero;SIM;SIM;Caractere(16);Núm. de controle do processo licitatório no Aplic;PROCESSO_LICITATORIO;"99999999999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999999999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERCÍCIO" (ver regra d).
PROC_LICIT_FORNECEDOR_COTACAO;2;MLIC_Codigo;SIM;SIM;Caractere(2);Cód. da modalidade da licitação;PROCESSO_LICITATORIO;19...72|01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 12, 13, 14, 15, 17;REGRA 1: O conteúdo do campo deverá estar preenchido com "19...72|'01', '02', '03', '04', '05', '06', '07', '08', '09', '10', '12', '13', '14', '15', '17'".
PROC_LICIT_FORNECEDOR_COTACAO;3;CG_Identificacao;SIM;SIM;Caractere(20);CPF/CNPJ do fornecedor;CADASTRO_GERAL;;
